Canton;Type of holder;Vehicle group / type;Fuel;TIME_PERIOD;OBS_VALUE
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;3618
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;2840
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;2029
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;1739
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;1384
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;1045
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;821
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;599
Geneva;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;538
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;904
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;700
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;465
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;322
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;195
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;100
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;87
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;63
Neuchâtel;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;60
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2024;1780
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2023;1804
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2022;1796
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2021;1911
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2020;1930
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2019;1843
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2018;1940
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2017;1947
Nidwalden;Legal entity;Passenger car;Petrol: conventional;2016;1978
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;161
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;140
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;132
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;108
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;82
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2019;75
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;69
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2017;59
Aargau;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2016;47
Vaud;Legal entity;Passenger car;Other;2024;18
Vaud;Legal entity;Passenger car;Other;2023;19
Vaud;Legal entity;Passenger car;Other;2022;22
Vaud;Legal entity;Passenger car;Other;2021;23
Vaud;Legal entity;Passenger car;Other;2020;23
Vaud;Legal entity;Passenger car;Other;2019;19
Vaud;Legal entity;Passenger car;Other;2018;28
Vaud;Legal entity;Passenger car;Other;2017;30
Vaud;Legal entity;Passenger car;Other;2016;27
St. Gallen;Natural person;Passenger car;Other;2024;150
St. Gallen;Natural person;Passenger car;Other;2023;166
St. Gallen;Natural person;Passenger car;Other;2022;177
St. Gallen;Natural person;Passenger car;Other;2021;179
St. Gallen;Natural person;Passenger car;Other;2020;192
